model	rank	steps	seq_len	dim	depth	heads	position_mode	params_m	train_loss_last	train_acc_last	val_loss	val_ppl	val_acc	uc_cached_loss	uc_cached_ppl	uc_cached_acc	uc_cached_tokens_per_sec	uc_cache_max_diff	steps_per_sec
linear	32	3000	256	128	3	4	none	10.833536	5.134227752685547	0.16032294929027557	5.565301680564881	261.2039919925774	0.1533982649445534	nan	nan	nan	nan	nan	59.983052761369
performer	32	3000	256	128	3	4	none	10.833536	5.485992908477783	0.1501542627811432	5.7025525093078615	299.631237224705	0.14854607954621316	nan	nan	nan	nan	nan	54.278989534378084
lsso	32	3000	256	128	3	4	none	10.784408	5.357178211212158	0.15717539191246033	5.664752781391144	288.51664561548597	0.14609063901007174	5.745615124702454	312.8159895032464	0.1495704296976328	3105.0097422732115	1.33514404296875e-05	21.915920392443578
rope-lsso	32	3000	256	128	3	4	none	10.784408	5.23253870010376	0.16758868098258972	5.549459159374237	257.0984690003838	0.1556322228163481	5.63041228055954	278.7770282929082	0.15909778513014317	2380.2555443344077	1.33514404296875e-05	21.497635156005433
