model	rank	steps	seq_len	dim	depth	heads	position_mode	params_m	train_loss_last	train_acc_last	val_loss	val_ppl	val_acc	uc_cached_loss	uc_cached_ppl	uc_cached_acc	uc_cached_tokens_per_sec	sp_cached_loss	sp_cached_ppl	sp_cached_acc	sp_cached_tokens_per_sec	uc_cache_max_diff	sp_cache_max_diff	uc_sp_cache_max_diff	steps_per_sec
lsso	32	3000	256	128	3	4	learned	10.817048	5.282752990722656	0.17162472009658813	5.6902573823928835	295.96978825028367	0.14688987508416176	5.860005080699921	350.7259259485709	0.13988816365599632	3057.4706760429785	5.860005080699921	350.7259259485709	0.13988816365599632	3544.7768360116224	1.0013580322265625e-05	9.5367431640625e-06	7.152557373046875e-06	21.543928706602316
rope-lsso	32	3000	256	128	3	4	learned	10.817048	5.160999298095703	0.1914568990468979	5.58829151391983	267.2785876618203	0.15744159333407878	5.746060490608215	312.95533810800373	0.1538225430995226	2430.7153542381448	5.746060490608215	312.95533810800373	0.1538225430995226	2479.148003868443	9.775161743164062e-06	9.5367431640625e-06	9.298324584960938e-06	20.755958807406127
