model	rank	steps	seq_len	dim	depth	heads	position_mode	params_m	train_loss_last	train_acc_last	val_loss	val_ppl	val_acc	uc_cached_loss	uc_cached_ppl	uc_cached_acc	uc_cached_tokens_per_sec	uc_cache_max_diff	steps_per_sec
mha	32	3000	256	128	3	4	learned	10.866176	5.270076274871826	0.1584424376487732	5.505490612983704	246.03913606737245	0.1574148688465357	nan	nan	nan	nan	nan	89.32964050670604
linear	32	3000	256	128	3	4	learned	10.866176	5.329296588897705	0.15441423654556274	5.556230294704437	258.84522461268676	0.1529879577457905	nan	nan	nan	nan	nan	58.44185990971765
performer	32	3000	256	128	3	4	learned	10.866176	5.398533344268799	0.15577411651611328	5.68355360031128	293.9923069945958	0.14553032517433168	nan	nan	nan	nan	nan	53.590193072266544
lsso	32	3000	256	128	3	4	learned	10.817048	5.282752990722656	0.17162472009658813	5.6902573823928835	295.96978825028367	0.14688987508416176	5.860005080699921	350.7259259485709	0.13988816365599632	3072.3429619550875	1.0013580322265625e-05	21.99063982759514
rope-lsso	32	3000	256	128	3	4	learned	10.817048	5.160999298095703	0.1914568990468979	5.58829151391983	267.2785876618203	0.15744159333407878	5.746060490608215	312.95533810800373	0.1538225430995226	2387.8875653363434	9.775161743164062e-06	21.5409504530718
