epoch,global_step,mixer,rank,seed,train_loss,eval_loss,best_eval_loss,lr,seconds,params,max_mem_gb,tokens,nystrom_landmarks
49,33173,mha,32,1,0.15739736174462993,0.15248355478048325,0.14804737493395806,1.1599816245434904e-06,231.46,22164868,22.161,784,
50,33850,mha,32,1,0.15873936043180073,0.14971839234232903,0.14804737493395806,1.000000348149847e-06,231.5,22164868,22.161,784,
1,677,nystrom,32,1,0.35580442236128373,0.17614074259996415,0.17614074259996415,7.5e-05,461.58,22169028,35.177,784,56
2,1354,nystrom,32,1,0.17896789512658928,0.1726578378677368,0.1726578378677368,0.00015,460.66,22169028,35.178,784,56
3,2031,nystrom,32,1,0.17394177173229933,0.16530792713165282,0.16530792713165282,0.00014984096049228652,460.85,22169028,35.178,784,56
4,2708,nystrom,32,1,0.17066142042243146,0.163918197453022,0.163918197453022,0.00014936358192686305,460.64,22169028,35.178,784,56
5,3385,nystrom,32,1,0.1687685114220115,0.1635429172217846,0.1635429172217846,0.00014856990816388538,460.82,22169028,35.178,784,56
6,4062,nystrom,32,1,0.16729573010737997,0.16029239639639856,0.16029239639639856,0.00014746333783625354,460.65,22169028,35.178,784,56
7,4739,nystrom,32,1,0.1658515443852064,0.1571078957617283,0.1571078957617283,0.00014604860944799426,460.87,22169028,35.178,784,56
8,5416,nystrom,32,1,0.16510874048381646,0.1553245110809803,0.1553245110809803,0.0001443317810832591,460.63,22169028,35.178,784,56
9,6093,nystrom,32,1,0.16390497109782573,0.1556618767976761,0.1553245110809803,0.00014232020446467813,460.82,22169028,35.178,784,56
10,6770,nystrom,32,1,0.16228396896729616,0.15017284080386162,0.15017284080386162,0.000140022493472155,460.66,22169028,35.178,784,56
11,7447,nystrom,32,1,0.16182476892913286,0.15714195370674133,0.15017284080386162,0.0001374484872569107,460.85,22169028,35.178,784,56
12,8124,nystrom,32,1,0.16183080531909863,0.15475183263421058,0.15017284080386162,0.00013460920810872751,460.63,22169028,35.178,784,56
13,8801,nystrom,32,1,0.1613032014674591,0.1518604999780655,0.15017284080386162,0.00013151681425681205,460.84,22169028,35.178,784,56
14,9478,nystrom,32,1,0.16101350277618257,0.1546819281578064,0.15017284080386162,0.00012818454780639114,460.65,22169028,35.178,784,56
15,10155,nystrom,32,1,0.15974268722217227,0.15457641139626502,0.15017284080386162,0.00012462667803398431,460.83,22169028,35.178,784,56
16,10832,nystrom,32,1,0.16049206806030372,0.15574788749217988,0.15017284080386162,0.00012085844028417117,460.67,22169028,35.178,784,56
17,11509,nystrom,32,1,0.1594970173462455,0.14856506019830704,0.14856506019830704,0.00011689597072950676,460.67,22169028,35.178,784,56
18,12186,nystrom,32,1,0.15856954990232713,0.1558971643447876,0.14856506019830704,0.00011275623727295357,460.83,22169028,35.178,784,56
19,12863,nystrom,32,1,0.1591308428472571,0.1556206825375557,0.14856506019830704,0.00010845696688871595,460.66,22169028,35.178,784,56
20,13540,nystrom,32,1,0.15853887553185092,0.14774986654520034,0.14774986654520034,0.00010401656971261527,460.84,22169028,35.178,784,56
21,14217,nystrom,32,1,0.15755412062874924,0.14987317457795143,0.14774986654520034,9.945406020706173e-05,460.66,22169028,35.178,784,56
22,14894,nystrom,32,1,0.15888227506965796,0.1480487459897995,0.14774986654520034,9.478897573820733e-05,460.83,22169028,35.178,784,56
23,15571,nystrom,32,1,0.15730193460929692,0.14417482495307923,0.14417482495307923,9.004129291394452e-05,460.63,22169028,35.178,784,56
24,16248,nystrom,32,1,0.1584021049156851,0.14926255479454995,0.14417482495307923,8.523134204100427e-05,460.85,22169028,35.178,784,56
25,16925,nystrom,32,1,0.15788408358921152,0.15304211378097535,0.14417482495307923,8.037972006746163e-05,460.66,22169028,35.178,784,56
26,17602,nystrom,32,1,0.15718722749539984,0.15028080642223357,0.14417482495307923,7.55072023834419e-05,460.82,22169028,35.178,784,56
27,18279,nystrom,32,1,0.1571553310976423,0.14986540243029595,0.14417482495307923,7.063465385771049e-05,460.67,22169028,35.178,784,56
28,18956,nystrom,32,1,0.15798901043491137,0.15004911571741103,0.14417482495307923,6.578293949110195e-05,460.84,22169028,35.178,784,56
29,19633,nystrom,32,1,0.15563473869197653,0.14841424748301507,0.14417482495307923,6.097283506938274e-05,460.66,22169028,35.178,784,56
30,20310,nystrom,32,1,0.15632564539263133,0.1531851349771023,0.14417482495307923,5.622493819814737e-05,460.82,22169028,35.178,784,56
31,20987,nystrom,32,1,0.15670121585512795,0.15425356328487397,0.14417482495307923,5.1559580100708875e-05,460.65,22169028,35.178,784,56
32,21664,nystrom,32,1,0.1564873072540214,0.15163863584399223,0.14417482495307923,4.6996738556679256e-05,460.81,22169028,35.178,784,56
33,22341,nystrom,32,1,0.15556705152090403,0.15284867227077484,0.14417482495307923,4.255595235405026e-05,460.64,22169028,35.178,784,56
34,23018,nystrom,32,1,0.15604453453549255,0.1517488805949688,0.14417482495307923,3.825623762110341e-05,460.59,22169028,35.178,784,56
35,23695,nystrom,32,1,0.15539609701365806,0.14899178355932235,0.14417482495307923,3.411600639642943e-05,460.77,22169028,35.178,784,56
36,24372,nystrom,32,1,0.15660957262426217,0.15180639997124673,0.14417482495307923,3.015298778575219e-05,460.63,22169028,35.178,784,56
37,25049,nystrom,32,1,0.1565697557640921,0.1490149301290512,0.14417482495307923,2.638415204317636e-05,460.84,22169028,35.178,784,56
38,25726,nystrom,32,1,0.15547707030877053,0.1503777152299881,0.14417482495307923,2.2825637901953803e-05,460.65,22169028,35.178,784,56
39,26403,nystrom,32,1,0.1553490585929534,0.14968374088406564,0.14417482495307923,1.949268346595027e-05,460.83,22169028,35.178,784,56
40,27080,nystrom,32,1,0.15654577782578447,0.14525705486536025,0.14417482495307923,1.6399560957745197e-05,460.66,22169028,35.178,784,56
41,27757,nystrom,32,1,0.15594168121828814,0.15238339990377425,0.14417482495307923,1.3559515602783523e-05,460.81,22169028,35.178,784,56
42,28434,nystrom,32,1,0.15374349971113388,0.14925450533628465,0.14417482495307923,1.0984708911286883e-05,460.63,22169028,35.178,784,56
43,29111,nystrom,32,1,0.15584069840400927,0.14623730450868608,0.14417482495307923,8.686166600799799e-06,460.83,22169028,35.178,784,56
44,29788,nystrom,32,1,0.15534778547912087,0.1472820222377777,0.14417482495307923,6.67373138237441e-06,460.63,22169028,35.178,784,56
45,30465,nystrom,32,1,0.15513140457287497,0.15178407698869706,0.14417482495307923,4.956020812570686e-06,460.82,22169028,35.178,784,56
46,31142,nystrom,32,1,0.1552269036717922,0.15323008641600608,0.14417482495307923,3.54039039175624e-06,460.62,22169028,35.178,784,56
47,31819,nystrom,32,1,0.15510719102233692,0.14514924973249435,0.14417482495307923,2.43290206672455e-06,460.81,22169028,35.178,784,56
48,32496,nystrom,32,1,0.15512497718700455,0.14925863102078438,0.14417482495307923,1.6382982725080793e-06,460.63,22169028,35.178,784,56
49,33173,nystrom,32,1,0.15406893677954484,0.14927222996950149,0.14417482495307923,1.1599816245434904e-06,460.86,22169028,35.178,784,56
50,33850,nystrom,32,1,0.15537609199565483,0.14655622720718384,0.14417482495307923,1.000000348149847e-06,460.65,22169028,35.178,784,56
1,677,lsso,16,1,0.36641491256225056,0.1941090154647827,0.1941090154647827,7.5e-05,250.28,20186628,22.14,784,
2,1354,lsso,16,1,0.1927583242052591,0.18343789786100387,0.18343789786100387,0.00015,249.56,20186628,22.14,784,
3,2031,lsso,16,1,0.1844892762656402,0.17597954362630844,0.17597954362630844,0.00014984096049228652,249.53,20186628,22.14,784,
4,2708,lsso,16,1,0.18218589785400136,0.17538228183984755,0.17538228183984755,0.00014936358192686305,249.43,20186628,22.14,784,
5,3385,lsso,16,1,0.18154923375723456,0.17638371050357818,0.17538228183984755,0.00014856990816388538,249.5,20186628,22.14,784,
6,4062,lsso,16,1,0.18096767405551506,0.17370393127202988,0.17370393127202988,0.00014746333783625354,249.55,20186628,22.14,784,
7,4739,lsso,16,1,0.17999610368663135,0.17073217034339905,0.17073217034339905,0.00014604860944799426,249.51,20186628,22.14,784,
8,5416,lsso,16,1,0.179794192050021,0.1694587893784046,0.1694587893784046,0.0001443317810832591,249.54,20186628,22.14,784,
9,6093,lsso,16,1,0.17895193187797792,0.17036290228366852,0.1694587893784046,0.00014232020446467813,249.55,20186628,22.14,784,
10,6770,lsso,16,1,0.17753938500779065,0.16459388256073,0.16459388256073,0.000140022493472155,249.57,20186628,22.14,784,
11,7447,lsso,16,1,0.17726955953517728,0.17251046180725096,0.16459388256073,0.0001374484872569107,249.59,20186628,22.14,784,
12,8124,lsso,16,1,0.17756675440196273,0.16971891701221467,0.16459388256073,0.00013460920810872751,249.64,20186628,22.14,784,
13,8801,lsso,16,1,0.17709958608340653,0.16684933066368102,0.16459388256073,0.00013151681425681205,249.73,20186628,22.14,784,
14,9478,lsso,16,1,0.17696782573507314,0.17012716963887214,0.16459388256073,0.00012818454780639114,249.58,20186628,22.14,784,
15,10155,lsso,16,1,0.17581393931781875,0.17037272304296494,0.16459388256073,0.00012462667803398431,249.56,20186628,22.14,784,
16,10832,lsso,16,1,0.1768154424547797,0.17175674945116043,0.16459388256073,0.00012085844028417117,249.62,20186628,22.14,784,
17,11509,lsso,16,1,0.17589234075394833,0.1638901025056839,0.1638901025056839,0.00011689597072950676,249.55,20186628,22.14,784,
18,12186,lsso,16,1,0.17495189070085304,0.17241535276174547,0.1638901025056839,0.00011275623727295357,249.57,20186628,22.14,784,
19,12863,lsso,16,1,0.17557336876452234,0.17183386504650117,0.1638901025056839,0.00010845696688871595,249.63,20186628,22.14,784,
20,13540,lsso,16,1,0.175035307775396,0.16337702959775924,0.16337702959775924,0.00010401656971261527,249.66,20186628,22.14,784,
21,14217,lsso,16,1,0.17406860056664777,0.16566922277212143,0.16337702959775924,9.945406020706173e-05,249.66,20186628,22.14,784,
22,14894,lsso,16,1,0.17562912938293712,0.16371668249368668,0.16337702959775924,9.478897573820733e-05,249.6,20186628,22.14,784,
23,15571,lsso,16,1,0.1739092432567781,0.159607205837965,0.159607205837965,9.004129291394452e-05,249.5,20186628,22.14,784,
24,16248,lsso,16,1,0.1751572668684462,0.16512924924492836,0.159607205837965,8.523134204100427e-05,249.52,20186628,22.14,784,
25,16925,lsso,16,1,0.1746352384172303,0.16952041417360306,0.159607205837965,8.037972006746163e-05,249.57,20186628,22.14,784,
26,17602,lsso,16,1,0.17403430895579972,0.1662492161989212,0.159607205837965,7.55072023834419e-05,249.54,20186628,22.14,784,
27,18279,lsso,16,1,0.17395971345672578,0.16584597557783126,0.159607205837965,7.063465385771049e-05,249.46,20186628,22.14,784,
28,18956,lsso,16,1,0.1748572025816761,0.1659611651301384,0.159607205837965,6.578293949110195e-05,249.55,20186628,22.14,784,
29,19633,lsso,16,1,0.17231553723620172,0.16447853460907935,0.159607205837965,6.097283506938274e-05,249.5,20186628,22.14,784,
30,20310,lsso,16,1,0.17306302997395065,0.1694863645732403,0.159607205837965,5.622493819814737e-05,249.55,20186628,22.14,784,
31,20987,lsso,16,1,0.17358410388143236,0.17119776368141174,0.159607205837965,5.1559580100708875e-05,249.54,20186628,22.14,784,
32,21664,lsso,16,1,0.17340930020835588,0.1679890865087509,0.159607205837965,4.6996738556679256e-05,249.55,20186628,22.14,784,
33,22341,lsso,16,1,0.1722915949550302,0.16951399624347688,0.159607205837965,4.255595235405026e-05,249.49,20186628,22.14,784,
34,23018,lsso,16,1,0.17283594383798992,0.1680468252301216,0.159607205837965,3.825623762110341e-05,249.45,20186628,22.14,784,
35,23695,lsso,16,1,0.1721593988632874,0.16519347786903382,0.159607205837965,3.411600639642943e-05,249.49,20186628,22.14,784,
36,24372,lsso,16,1,0.17346655445357723,0.16828488796949387,0.159607205837965,3.015298778575219e-05,249.53,20186628,22.14,784,
37,25049,lsso,16,1,0.17347645160894803,0.16532849848270417,0.159607205837965,2.638415204317636e-05,249.41,20186628,22.14,784,
38,25726,lsso,16,1,0.17228152726170232,0.16649629399180413,0.159607205837965,2.2825637901953803e-05,249.45,20186628,22.14,784,
39,26403,lsso,16,1,0.1719944276454882,0.165938338637352,0.159607205837965,1.949268346595027e-05,249.52,20186628,22.14,784,
40,27080,lsso,16,1,0.17344337563130846,0.16104501828551293,0.159607205837965,1.6399560957745197e-05,249.52,20186628,22.14,784,
41,27757,lsso,16,1,0.1728508367232065,0.16873960077762604,0.159607205837965,1.3559515602783523e-05,249.45,20186628,22.14,784,
42,28434,lsso,16,1,0.17033587483086648,0.16545472636818886,0.159607205837965,1.0984708911286883e-05,249.43,20186628,22.14,784,
43,29111,lsso,16,1,0.1726547547862308,0.16173239171504974,0.159607205837965,8.686166600799799e-06,248.95,20186628,22.14,784,
44,29788,lsso,16,1,0.17217924143222094,0.16322340652346612,0.159607205837965,6.67373138237441e-06,248.68,20186628,22.14,784,
45,30465,lsso,16,1,0.17188484348257677,0.16825115114450453,0.159607205837965,4.956020812570686e-06,248.66,20186628,22.14,784,
46,31142,lsso,16,1,0.17193279227178593,0.16986638724803924,0.159607205837965,3.54039039175624e-06,248.68,20186628,22.14,784,
47,31819,lsso,16,1,0.17195750556148842,0.16090461164712905,0.159607205837965,2.43290206672455e-06,248.71,20186628,22.14,784,
48,32496,lsso,16,1,0.17199838193383843,0.16581786870956422,0.159607205837965,1.6382982725080793e-06,248.72,20186628,22.14,784,
49,33173,lsso,16,1,0.17074597805210195,0.1653527535498142,0.159607205837965,1.1599816245434904e-06,248.71,20186628,22.14,784,
50,33850,lsso,16,1,0.17216746962493068,0.16221320062875746,0.159607205837965,1.000000348149847e-06,248.81,20186628,22.14,784,
1,677,lsso,32,1,0.36749490789595873,0.19448415338993072,0.19448415338993072,7.5e-05,270.03,20579844,23.005,784,
2,1354,lsso,32,1,0.19225785866974024,0.18258193075656892,0.18258193075656892,0.00015,269.29,20579844,23.005,784,
3,2031,lsso,32,1,0.18354091464240582,0.17483920633792877,0.17483920633792877,0.00014984096049228652,269.26,20579844,23.005,784,
4,2708,lsso,32,1,0.18117698706807556,0.17444808512926102,0.17444808512926102,0.00014936358192686305,269.11,20579844,23.005,784,
5,3385,lsso,32,1,0.18054399946415617,0.1752533183991909,0.17444808512926102,0.00014856990816388538,269.18,20579844,23.005,784,
6,4062,lsso,32,1,0.17997040001997391,0.1728177163004875,0.1728177163004875,0.00014746333783625354,269.12,20579844,23.005,784,
7,4739,lsso,32,1,0.17903006484008435,0.16980169355869293,0.16980169355869293,0.00014604860944799426,269.26,20579844,23.005,784,
8,5416,lsso,32,1,0.17884630904680165,0.16847565814852714,0.16847565814852714,0.0001443317810832591,269.28,20579844,23.005,784,
9,6093,lsso,32,1,0.17799973176404327,0.169439564794302,0.16847565814852714,0.00014232020446467813,269.24,20579844,23.005,784,
10,6770,lsso,32,1,0.17659196143136244,0.16361998856067658,0.16361998856067658,0.000140022493472155,269.13,20579844,23.005,784,
11,7447,lsso,32,1,0.17633580204038887,0.1714609694480896,0.16361998856067658,0.0001374484872569107,269.24,20579844,23.005,784,
12,8124,lsso,32,1,0.17661575325922918,0.1687542176246643,0.16361998856067658,0.00013460920810872751,269.24,20579844,23.005,784,
13,8801,lsso,32,1,0.17614275232463678,0.16594476670026778,0.16361998856067658,0.00013151681425681205,269.28,20579844,23.005,784,
14,9478,lsso,32,1,0.17601089534986672,0.16921075016260148,0.16361998856067658,0.00012818454780639114,269.47,20579844,23.005,784,
15,10155,lsso,32,1,0.17482457948268076,0.1693474146723747,0.16361998856067658,0.00012462667803398431,269.36,20579844,23.005,784,
16,10832,lsso,32,1,0.1758074713664534,0.17075926065444946,0.16361998856067658,0.00012085844028417117,269.3,20579844,23.005,784,
17,11509,lsso,32,1,0.1748941048891717,0.16299766033887864,0.16299766033887864,0.00011689597072950676,269.38,20579844,23.005,784,
18,12186,lsso,32,1,0.1739397740632604,0.17137547433376313,0.16299766033887864,0.00011275623727295357,269.42,20579844,23.005,784,
19,12863,lsso,32,1,0.1745418014563345,0.17074044495821,0.16299766033887864,0.00010845696688871595,269.41,20579844,23.005,784,
20,13540,lsso,32,1,0.17400885893904125,0.16242097213864326,0.16242097213864326,0.00010401656971261527,269.35,20579844,23.005,784,
21,14217,lsso,32,1,0.17303003019693156,0.16467614620923995,0.16242097213864326,9.945406020706173e-05,269.46,20579844,23.005,784,
22,14894,lsso,32,1,0.17456299024723482,0.16265604451298712,0.16242097213864326,9.478897573820733e-05,269.45,20579844,23.005,784,
23,15571,lsso,32,1,0.1728531516857302,0.15854067370295524,0.15854067370295524,9.004129291394452e-05,269.38,20579844,23.005,784,
24,16248,lsso,32,1,0.17408085582527488,0.16405296817421913,0.15854067370295524,8.523134204100427e-05,269.25,20579844,23.005,784,
25,16925,lsso,32,1,0.17355982903143505,0.16845554798841478,0.15854067370295524,8.037972006746163e-05,269.28,20579844,23.005,784,
26,17602,lsso,32,1,0.172955993095212,0.16521746307611465,0.15854067370295524,7.55072023834419e-05,269.3,20579844,23.005,784,
27,18279,lsso,32,1,0.17288167490740822,0.16478356033563613,0.15854067370295524,7.063465385771049e-05,269.3,20579844,23.005,784,
28,18956,lsso,32,1,0.1737601757489772,0.16490236043930054,0.15854067370295524,6.578293949110195e-05,269.08,20579844,23.005,784,
29,19633,lsso,32,1,0.17121949941580195,0.16341040626168252,0.15854067370295524,6.097283506938274e-05,269.09,20579844,23.005,784,
30,20310,lsso,32,1,0.1719685645452102,0.16839029058814048,0.15854067370295524,5.622493819814737e-05,269.09,20579844,23.005,784,
31,20987,lsso,32,1,0.17247370497338704,0.17013110101222992,0.15854067370295524,5.1559580100708875e-05,269.18,20579844,23.005,784,
32,21664,lsso,32,1,0.17229765098943667,0.16687945067882537,0.15854067370295524,4.6996738556679256e-05,269.15,20579844,23.005,784,
33,22341,lsso,32,1,0.17118900663259287,0.168378005027771,0.15854067370295524,4.255595235405026e-05,269.09,20579844,23.005,784,
34,23018,lsso,32,1,0.17173406281446602,0.16692253351211547,0.15854067370295524,3.825623762110341e-05,269.11,20579844,23.005,784,
35,23695,lsso,32,1,0.171051128961399,0.16411730468273164,0.15854067370295524,3.411600639642943e-05,269.23,20579844,23.005,784,
36,24372,lsso,32,1,0.1723562063899667,0.1672325924038887,0.15854067370295524,3.015298778575219e-05,269.09,20579844,23.005,784,
37,25049,lsso,32,1,0.17235815887128936,0.16423765033483506,0.15854067370295524,2.638415204317636e-05,269.05,20579844,23.005,784,
38,25726,lsso,32,1,0.1711681936392932,0.16542192578315734,0.15854067370295524,2.2825637901953803e-05,269.04,20579844,23.005,784,
39,26403,lsso,32,1,0.17088354090600105,0.1648293076455593,0.15854067370295524,1.949268346595027e-05,269.02,20579844,23.005,784,
40,27080,lsso,32,1,0.1723221735904981,0.15996617674827576,0.15854067370295524,1.6399560957745197e-05,269.04,20579844,23.005,784,
41,27757,lsso,32,1,0.17171953982801522,0.1676405417919159,0.15854067370295524,1.3559515602783523e-05,269.02,20579844,23.005,784,
42,28434,lsso,32,1,0.1692336523022222,0.16432081803679466,0.15854067370295524,1.0984708911286883e-05,269.17,20579844,23.005,784,
43,29111,lsso,32,1,0.17153885565489047,0.16067111253738403,0.15854067370295524,8.686166600799799e-06,269.07,20579844,23.005,784,
44,29788,lsso,32,1,0.17105818039117218,0.16216801807284356,0.15854067370295524,6.67373138237441e-06,268.98,20579844,23.005,784,
45,30465,lsso,32,1,0.17076960803618987,0.1671522395312786,0.15854067370295524,4.956020812570686e-06,269.33,20579844,23.005,784,
46,31142,lsso,32,1,0.17081527156615012,0.16877039521932602,0.15854067370295524,3.54039039175624e-06,269.65,20579844,23.005,784,
47,31819,lsso,32,1,0.17083319648550038,0.15982108443975448,0.15854067370295524,2.43290206672455e-06,269.28,20579844,23.005,784,
48,32496,lsso,32,1,0.17087741764028455,0.16468920201063156,0.15854067370295524,1.6382982725080793e-06,269.46,20579844,23.005,784,
49,33173,lsso,32,1,0.16963125889683403,0.1642574405670166,0.15854067370295524,1.1599816245434904e-06,269.86,20579844,23.005,784,
50,33850,lsso,32,1,0.17105272924046044,0.1611788648366928,0.15854067370295524,1.000000348149847e-06,269.26,20579844,23.005,784,
