model	epochs	params	best_acc_epoch	best_val_acc	best_acc_val_loss	best_loss_epoch	best_val_loss	final_val_acc	final_val_loss	steady_epoch_sec	peak_mem_gb	final_gamma_over_mu_mean	final_gamma_over_mu_min	final_gamma_over_mu_max
mha	80	85221220	78	0.3888	2.46251279296875	77	2.457640850830078	0.3873	2.4619257080078123	38.28179730513157	3.895357131958008	0.0	0.0	0.0
rrlsso	80	74590852	80	0.6456	1.647164208984375	34	1.5429818817138672	0.6456	1.647164208984375	38.65090498557458	3.830181121826172	1.0911840200424194	0.3825834393501282	1.4325350522994995
