model,seq_len,batch_size,dim,heads,dtype,forward_ms,forward_ms_p25,forward_ms_p75,forward_backward_ms,forward_backward_ms_p25,forward_backward_ms_p75,peak_memory_mb,incremental_peak_memory_mb,mixer_macs_g,status,error,wall_seconds
MHA,128,8,256,8,bfloat16,0.1353919953107834,0.11608000099658966,0.17707199603319168,0.8725759983062744,0.8399519920349121,0.984607994556427,74.6328125,8.62890625,0.04194304,ok,,0.7121012210845947
Nystromformer,128,8,256,8,bfloat16,1.2488960027694702,1.1913599967956543,1.6161119937896729,3.8129920959472656,3.751215934753418,4.110431909561157,104.77587890625,38.76953125,0.043024384,ok,,85.22674584388733
LSSO-r16,128,8,256,8,bfloat16,0.4179840087890625,0.37615999579429626,0.4686239957809448,1.6586560010910034,1.5974559783935547,1.7729600071907043,73.72314453125,8.09619140625,0.022315008,ok,,0.667435884475708
LSSO-r32,128,8,256,8,bfloat16,0.47257599234580994,0.3946880102157593,0.5487039983272552,1.6955840587615967,1.6014080047607422,1.911359965801239,74.7890625,9.0341796875,0.028573696,ok,,0.26801395416259766
MHA,256,8,256,8,bfloat16,0.12537600100040436,0.10913600027561188,0.17363200336694717,0.8591679930686951,0.8347199857234955,0.969728022813797,83.6328125,16.62890625,0.100663296,ok,,0.1946101188659668
Nystromformer,256,8,256,8,bfloat16,1.2821439504623413,1.21152001619339,1.6201760172843933,3.8494720458984375,3.7553759813308716,3.931663990020752,120.77587890625,53.76953125,0.08290304,ok,,0.3606383800506592
LSSO-r16,256,8,256,8,bfloat16,0.4479680061340332,0.36748799681663513,0.5527519881725311,1.6629120111465454,1.601631999015808,1.737936019897461,82.50439453125,15.87744140625,0.044597248,ok,,0.22148704528808594
LSSO-r32,256,8,256,8,bfloat16,0.4763840138912201,0.40276800096035004,0.5480639934539795,1.6792000532150269,1.5965439677238464,1.7169439792633057,84.19482421875,17.43994140625,0.056885248,ok,,0.22142267227172852
MHA,512,8,256,8,bfloat16,0.14182400703430176,0.12932800501585007,0.2085920050740242,0.9211519956588745,0.8651359975337982,1.0282240509986877,101.6328125,32.62890625,0.268435456,ok,,0.1696796417236328
Nystromformer,512,8,256,8,bfloat16,1.400223970413208,1.3343679904937744,1.6949120163917542,4.060160160064697,3.9967039823532104,4.432511806488037,152.77587890625,83.76953125,0.162660352,ok,,0.3458893299102783
LSSO-r16,512,8,256,8,bfloat16,0.4943679869174957,0.4354400038719177,0.5728799998760223,1.6836479902267456,1.5927039980888367,1.7388160228729248,102.06689453125,33.43994140625,0.089161728,ok,,0.20544862747192383
LSSO-r32,512,8,256,8,bfloat16,0.5030080080032349,0.4312160015106201,0.5877120196819305,1.6633919477462769,1.5889599919319153,1.8515679836273193,103.25732421875,34.50244140625,0.113508352,ok,,0.20484304428100586
MHA,1024,8,256,8,bfloat16,0.3004800081253052,0.2604160010814667,0.32548800110816956,1.0759040117263794,0.9711199998855591,1.1304160356521606,137.6328125,64.62890625,0.805306368,ok,,0.19153428077697754
Nystromformer,1024,8,256,8,bfloat16,1.7388160228729248,1.6838719844818115,2.1232000589370728,5.189375877380371,4.798399925231934,5.50380802154541,216.77587890625,143.76953125,0.322174976,ok,,0.3979756832122803
LSSO-r16,1024,8,256,8,bfloat16,0.49027198553085327,0.4372960031032562,0.5461599826812744,1.7156480550765991,1.5841119885444641,1.8253120183944702,135.19189453125,62.56494140625,0.178290688,ok,,0.2606165409088135
LSSO-r32,1024,8,256,8,bfloat16,0.5198400020599365,0.4796160012483597,0.5521760284900665,1.8001600503921509,1.6301760077476501,1.9308159947395325,141.38232421875,68.62744140625,0.22675456,ok,,0.20811152458190918
MHA,2048,8,256,8,bfloat16,0.6373760104179382,0.6090559959411621,0.6466719806194305,2.613568067550659,2.5217440128326416,2.6698880195617676,202.005859375,121.001953125,2.68435456,ok,,0.25381994247436523
Nystromformer,2048,8,256,8,bfloat16,2.68339204788208,2.4163039922714233,2.867200016975403,7.417151927947998,6.917711973190308,7.840319871902466,344.77587890625,263.76953125,0.641204224,ok,,0.5150613784790039
LSSO-r16,2048,8,256,8,bfloat16,0.5702400207519531,0.5574879944324493,0.6303839981555939,1.8773759603500366,1.6417760252952576,2.0352799892425537,205.44189453125,124.81494140625,0.356548608,ok,,0.22479820251464844
LSSO-r32,2048,8,256,8,bfloat16,0.6361600160598755,0.610287994146347,0.8252319991588593,1.9456640481948853,1.8007360100746155,2.237056016921997,217.63232421875,136.87744140625,0.453246976,ok,,0.23405981063842773
