length,layer,metric,count,min,p01,p10,median,p90,p99,max
1024,1,q,384,0.8747418522834778,0.8747418522834778,0.8809138536453247,0.8976244926452637,0.9061017036437988,0.9086789488792419,0.9086789488792419
1024,1,contraction_slack,384,0.09132105112075806,0.09132105112075806,0.09389829635620117,0.10237550735473633,0.11908614635467529,0.12525814771652222,0.12525814771652222
1024,1,mu,384,1.213493846317574,1.219641264075377,1.2520660285422904,1.356287069100797,1.4870794887141747,1.6221580736234045,1.6280726791672016
1024,1,state_ratio,384,0.37467933767776296,0.3807111575879675,0.41568094928237176,0.44857914707775604,0.4938949667513788,0.5022419973834154,0.5042654756269669
1024,1,adjoint_ratio,384,0.4812069295892402,0.48274123605316743,0.49061290080751396,0.4978221708790044,0.5042780824737124,0.5094993219630839,0.510834153027459
1024,1,state_bound_usage,384,0.4596104826903166,0.4681181285134555,0.546966862714226,0.6198401282197992,0.725920304458501,0.8088564367251008,0.8169474337667356
1024,1,adjoint_bound_usage,384,0.5984192042874387,0.6029284109368438,0.6266233559436889,0.6738095200608727,0.7352269821463425,0.8133885650391742,0.820164966161231
1024,2,q,384,0.8750050067901611,0.8750050067901611,0.8802845478057861,0.8891700506210327,0.8945820331573486,0.8958367109298706,0.8958367109298706
1024,2,contraction_slack,384,0.1041632890701294,0.1041632890701294,0.10541796684265137,0.11082994937896729,0.11971545219421387,0.12499499320983887,0.12499499320983887
1024,2,mu,384,1.221052977079047,1.224827976965609,1.293482593409059,1.3938306772570597,1.4910095009375164,1.6455599308771953,1.648343354714924
1024,2,state_ratio,384,0.48767716126982397,0.4924548547690928,0.5077540428107801,0.5624047069553426,0.599780830347756,0.6273450505059719,0.6382405931695713
1024,2,adjoint_ratio,384,0.49366292225394015,0.4967088393856916,0.49937912149391306,0.5042205546559142,0.5076762113966673,0.5110530774651214,0.5138668789905801
1024,2,state_bound_usage,384,0.662817625103281,0.6717101606723836,0.7150225014167075,0.784985014768906,0.8327838561135709,0.8561817680870364,0.8604357526992675
1024,2,adjoint_bound_usage,384,0.612690641246799,0.6153722222265418,0.6537516284982161,0.7041812931080209,0.7499822440739675,0.8200921049053682,0.822017074752045
1024,3,q,384,0.8773477673530579,0.8773477673530579,0.8843401670455933,0.8901233673095703,0.8951756358146667,0.9000760316848755,0.9000760316848755
1024,3,contraction_slack,384,0.09992396831512451,0.09992396831512451,0.10482436418533325,0.10987663269042969,0.11565983295440674,0.12265223264694214,0.12265223264694214
1024,3,mu,384,1.1803660474128865,1.1862651352450162,1.2154645134024928,1.3827516467075838,1.4950274154348795,1.543221887074019,1.5476117737279615
1024,3,state_ratio,384,0.4816142482340253,0.48948546402838283,0.5301538163962415,0.5727643231184143,0.6408909238319608,0.6479671699312881,0.6559983363150219
1024,3,adjoint_ratio,384,0.49582896647264596,0.498039275410057,0.5014931067872114,0.5054693848419398,0.5100718356156432,0.5141864661946729,0.5154302208659555
1024,3,state_bound_usage,384,0.5907856121369486,0.607411363365642,0.6964503262074813,0.8116961860976215,0.8473983635136425,0.8621062897133043,0.8650580486421205
1024,3,adjoint_bound_usage,384,0.5929878957129991,0.5979808878299852,0.6206099459129678,0.6964684936482402,0.7509770118407412,0.7775919919802514,0.7843503816401376
1024,4,q,384,0.8828477263450623,0.8828477263450623,0.8863855004310608,0.8913772702217102,0.8972045183181763,0.8991700410842896,0.8991700410842896
1024,4,contraction_slack,384,0.10082995891571045,0.10082995891571045,0.10279548168182373,0.1086227297782898,0.11361449956893921,0.11715227365493774,0.11715227365493774
1024,4,mu,384,1.169843734346835,1.1782171995174209,1.2206978340063297,1.3696406009807587,1.4890768346211287,1.5482604825010737,1.555051061605155
1024,4,state_ratio,384,0.4325210709932148,0.43609861344455053,0.4892531773134368,0.5550491789829323,0.6038202323229236,0.6546340263490972,0.6616041160994535
1024,4,adjoint_ratio,384,0.4971392416582648,0.49787053673764403,0.5006457621878413,0.505112793893849,0.5102909060613562,0.5150840851770512,0.518697399121435
1024,4,state_bound_usage,384,0.5693364558940244,0.5726085680767437,0.6726133293450591,0.7747818439968476,0.8358398456966718,0.8559099377142746,0.8591922346957349
1024,4,adjoint_bound_usage,384,0.5909368498893545,0.6008821590348482,0.6175995988959849,0.6931840344196584,0.7472654143478479,0.7785655602927727,0.7851712974502512
1024,5,q,384,0.8868122100830078,0.8868122100830078,0.8875082731246948,0.8911207616329193,0.8946085572242737,0.8959724307060242,0.8959724307060242
1024,5,contraction_slack,384,0.10402756929397583,0.10402756929397583,0.10539144277572632,0.10887923836708069,0.11249172687530518,0.11318778991699219,0.11318778991699219
1024,5,mu,384,1.1811635783364787,1.184042464749284,1.264746710750421,1.3764322765375676,1.4877617745509177,1.5917804033829608,1.5938776574935838
1024,5,state_ratio,384,0.44936136374945546,0.45408163013205305,0.49104613057258817,0.5450319594356491,0.6352698693401623,0.657865863303939,0.6625840206374037
1024,5,adjoint_ratio,384,0.49602264571983834,0.49749607986745337,0.5004814984005362,0.5054624299696671,0.5109167083377022,0.5145125045034772,0.5212193333333229
1024,5,state_bound_usage,384,0.6368131314758314,0.6394664723901187,0.6831792311386138,0.7755795748659056,0.8503223771936526,0.891137408666719,0.8945418516474903
1024,5,adjoint_bound_usage,384,0.5958887458651874,0.603109246220306,0.6447847074312026,0.6977137366592387,0.7470289048547303,0.8018192373903823,0.8079905828931186
1024,6,q,384,0.883212149143219,0.883212149143219,0.8889557123184204,0.8931784629821777,0.8978046178817749,0.9001852869987488,0.9001852869987488
1024,6,contraction_slack,384,0.09981471300125122,0.09981471300125122,0.1021953821182251,0.10682153701782227,0.11104428768157959,0.116787850856781,0.116787850856781
1024,6,mu,384,1.1770600275736438,1.1857926377138182,1.3143825514619232,1.4338210031986356,1.6478465585531243,1.7584477609739964,1.7616340319187065
1024,6,state_ratio,384,0.4825666520148674,0.4841246731299223,0.48917694167171066,0.548243765027677,0.6248287383103495,0.6480900381356516,0.6549611127956626
1024,6,adjoint_ratio,384,0.4958355239143035,0.49662167370199123,0.49976463298365964,0.5038967346368338,0.5092679585415271,0.5125421565940795,0.5150796203526355
1024,6,state_bound_usage,384,0.6891807441198738,0.6950641479338603,0.7262409676456711,0.8091168690701658,0.8678648723085992,0.8748075077711992,0.8797021999165542
1024,6,adjoint_bound_usage,384,0.5978914920520249,0.6045631834426652,0.6616707388733277,0.7228703158568546,0.8245610431024728,0.8807056719999599,0.8814054937813861
2048,1,q,384,0.8747418522834778,0.8747418522834778,0.8809138536453247,0.8976244926452637,0.9061017036437988,0.9086789488792419,0.9086789488792419
2048,1,contraction_slack,384,0.09132105112075806,0.09132105112075806,0.09389829635620117,0.10237550735473633,0.11908614635467529,0.12525814771652222,0.12525814771652222
2048,1,mu,384,1.2255946996718146,1.2321326048321872,1.3014620161194337,1.3884757386062434,1.525492724621897,1.6339569591132423,1.6419024970299883
2048,1,state_ratio,384,0.35254839477016514,0.3579325863782725,0.401822339173357,0.43333435134221343,0.4829868534074103,0.4997409267111577,0.5012425154831364
