dataset	keep_rank	seeds	R1_mean	R1_std	R10_mean	R10_std	MRR10_mean	MRR10_std	theoretical_mixer_save_vs_full	effrank	corr
fiqa	32	1,2,3	0.06532921810699588	0.0038836596889252864	0.23868312757201646	0.01828123008633422	0.11163572081781964	0.003980966595673827	0.0	3.780182123184204	0.22892425954341888
fiqa	24	1,2,3	0.06738683127572016	0.004714584048308477	0.23559670781893005	0.012942125129021726	0.11305788261806787	0.004968391005926913	0.11063508064516125	3.4138527711232505	0.2145990232626597
fiqa	16	1,2,3	0.06841563786008231	0.0035638905505532455	0.23765432098765432	0.010691671651659736	0.11364005650271089	0.004610605490934995	0.2157258064516129	2.9158796469370523	0.189564511179924
fiqa	12	1,2,3	0.06532921810699589	0.0017819452752766227	0.23405349794238683	0.010275197713702772	0.11185189267751007	0.004179913288765827	0.26625954060324826	2.620213508605957	0.17228426039218903
fiqa	8	1,2,3	0.06584362139917696	0.005419574975747294	0.2361111111111111	0.014882177100297763	0.11122093213142603	0.005629704796041817	0.31548819124423964	2.2687817414601645	0.14999936521053314
fiqa	4	1,2,3	0.056584362139917695	0.007919138023837787	0.22685185185185183	0.015661869699216388	0.10170957443333993	0.00787296062787247	0.3634387608069164	1.782503326733907	0.11668913066387177
nfcorpus	32	1,2,3	0.35294117647058826	0.023374100418794883	0.5841073271413828	0.0035749242674280647	0.42345324094550096	0.02288550764530075	0.0	3.0592673619588218	0.3217785656452179
nfcorpus	24	1,2,3	0.35294117647058826	0.024573541588835228	0.5851393188854489	0.003095975232198178	0.42335004177109437	0.022648197314780332	0.11063508064516125	2.837118625640869	0.3068520824114482
nfcorpus	16	1,2,3	0.35500515995872034	0.025964387255746398	0.5830753353973168	0.004729180283752163	0.4231649384900159	0.02235640955512707	0.2157258064516129	2.506930669148763	0.27459336320559186
nfcorpus	12	1,2,3	0.3498452012383901	0.024180339553890578	0.5830753353973168	0.008937310668570097	0.42016724818582396	0.021223258883561226	0.26625954060324826	2.3040895462036133	0.24971729516983032
nfcorpus	8	1,2,3	0.3457172342621259	0.02323700773828214	0.5810113519091847	0.007791366806264995	0.41761757334512745	0.022573020347843677	0.31548819124423964	2.056971788406372	0.21542098621527353
nfcorpus	4	1,2,3	0.3384932920536636	0.03310426198626508	0.5758513931888545	0.005362386401142033	0.4122819303159859	0.028526653765660406	0.3634387608069164	1.698482592900594	0.16242734591166177
scifact	32	1,2,3	0.5588888888888889	0.008388704928078585	0.7088888888888889	0.011706281947614146	0.609513668430335	0.007298325743504908	0.0	11.20193068186442	0.2632085581620534
scifact	24	1,2,3	0.5566666666666666	0.012018504251546616	0.7077777777777777	0.010183501544346316	0.6076904761904762	0.009228491871281231	0.11063508064516125	9.958367029825846	0.24279279510180155
scifact	16	1,2,3	0.5544444444444444	0.010715167512214388	0.7055555555555556	0.01347150628109124	0.6049126984126983	0.008759140905974214	0.2157258064516129	8.12093989054362	0.21088063220183054
scifact	12	1,2,3	0.5488888888888889	0.009622504486493792	0.6977777777777778	0.005091750772173164	0.5995564373897707	0.007204418276204294	0.26625954060324826	6.890727202097575	0.18948033452033997
scifact	8	1,2,3	0.5477777777777778	0.007698003589194996	0.6922222222222222	0.013877773329774246	0.596966049382716	0.005614933741098054	0.31548819124423964	5.323756059010823	0.16202646493911743
scifact	4	1,2,3	0.5322222222222223	0.001924500897298733	0.6855555555555556	0.013877773329774183	0.5859858906525574	0.005671824613788441	0.3634387608069164	3.221928675969442	0.12205172578493755
