task	checkpoint	batches	layer	gamma_over_mu	correction_ratio	effective_rank
scifact	20260531-215230_bertstyle_retr_scifact_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	8	1	0.007801086641848087	0.5812231972813606	9.683871507644653
scifact	20260531-215230_bertstyle_retr_scifact_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	8	2	0.007792365737259388	0.45037880167365074	18.05370831489563
scifact	20260531-215230_bertstyle_retr_scifact_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	8	3	0.0077867815271019936	0.39152588695287704	23.485492706298828
scifact	20260531-215230_bertstyle_retr_scifact_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	8	4	0.00777948834002018	0.38258418813347816	23.954310655593872
scifact	20260531-215230_bertstyle_retr_scifact_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	8	5	0.007780923508107662	0.3896755613386631	23.72736620903015
scifact	20260531-215230_bertstyle_retr_scifact_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	8	6	0.007776873651891947	0.40102850273251534	22.997227430343628
scifact	20260531-215230_bertstyle_retr_scifact_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	8	7	0.007786892354488373	0.41302213072776794	22.47858238220215
scifact	20260531-215230_bertstyle_retr_scifact_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	8	8	0.007796677760779858	0.4340082220733166	22.116296768188477
