task	layers	checkpoint	batches	gamma_over_mu_mean	gamma_over_mu_min	gamma_over_mu_max	correction_ratio_mean	correction_ratio_min	correction_ratio_max	effective_rank_mean	effective_rank_min	effective_rank_max
cifar100	3	20260603-184901_cifar100_lsso_r32_g0.3_tgi-4.0_d96_L3_h6_s1_ra_mix0.2_cut0.5.pt	8	0.021106132306158543	0.01523324940353632	0.027343906462192535	0.8014039844274521	0.6880407631397247	0.9086316302418709	2.489962716897329	1.3288777768611908	3.880871891975403
fiqa	8	20260531-175727_bertstyle_retr_fiqa_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	8	0.00873163330834359	0.008122794330120087	0.009039091877639294	0.32564322743564844	0.29942286014556885	0.38161369413137436	3.7717482410371304	2.8473437428474426	6.4584110379219055
nfcorpus	8	20260531-211546_bertstyle_retr_nfcorpus_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	8	0.011729993508197367	0.009253350086510181	0.013514863327145576	0.4946480053476989	0.44080912321805954	0.6007222160696983	4.356477547436953	3.0420741140842438	5.539261162281036
scifact	8	20260531-215230_bertstyle_retr_scifact_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	8	0.007787636190187186	0.007776873651891947	0.007801086641848087	0.4304308113642037	0.38258418813347816	0.5812231972813606	20.812106996774673	9.683871507644653	23.954310655593872
