task	checkpoint	batches	layer	gamma_over_mu	correction_ratio	effective_rank
nfcorpus	20260531-211546_bertstyle_retr_nfcorpus_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	8	1	0.009253350086510181	0.44080912321805954	5.539261162281036
nfcorpus	20260531-211546_bertstyle_retr_nfcorpus_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	8	2	0.010272911749780178	0.45030471682548523	5.167825222015381
nfcorpus	20260531-211546_bertstyle_retr_nfcorpus_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	8	3	0.011198639869689941	0.47113343328237534	4.936560571193695
nfcorpus	20260531-211546_bertstyle_retr_nfcorpus_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	8	4	0.011720838025212288	0.4840553067624569	4.805335283279419
nfcorpus	20260531-211546_bertstyle_retr_nfcorpus_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	8	5	0.011967387981712818	0.49636463448405266	4.42123544216156
nfcorpus	20260531-211546_bertstyle_retr_nfcorpus_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	8	6	0.012545663863420486	0.5052361227571964	3.7631435990333557
nfcorpus	20260531-211546_bertstyle_retr_nfcorpus_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	8	7	0.013514863327145576	0.508558489382267	3.0420741140842438
nfcorpus	20260531-211546_bertstyle_retr_nfcorpus_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	8	8	0.013366293162107468	0.6007222160696983	3.17638498544693
