task	checkpoint	batches	layer	gamma_over_mu	correction_ratio	effective_rank
fiqa	20260531-175727_bertstyle_retr_fiqa_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	8	1	0.008122794330120087	0.38161369413137436	5.056849300861359
fiqa	20260531-175727_bertstyle_retr_fiqa_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	8	2	0.008459067903459072	0.3109942078590393	3.33145809173584
fiqa	20260531-175727_bertstyle_retr_fiqa_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	8	3	0.008619294501841068	0.31152021884918213	2.966329872608185
fiqa	20260531-175727_bertstyle_retr_fiqa_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	8	4	0.008822248317301273	0.3076438717544079	2.8683135211467743
fiqa	20260531-175727_bertstyle_retr_fiqa_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	8	5	0.0088645676150918	0.3068983405828476	2.8473437428474426
fiqa	20260531-175727_bertstyle_retr_fiqa_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	8	6	0.008922362700104713	0.29942286014556885	2.8986651599407196
fiqa	20260531-175727_bertstyle_retr_fiqa_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	8	7	0.009003639221191406	0.32260654121637344	3.7466152012348175
fiqa	20260531-175727_bertstyle_retr_fiqa_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	8	8	0.009039091877639294	0.36444608494639397	6.4584110379219055
