task	seq_len	difficulty	model	mixer	rank	seed	steps	dim	depth	heads	position_mode	online_train	params_m	mixer_macs_g	train_loss	train_acc	val_loss	val_acc	seconds	tokens_per_sec	peak_mem_mb
mqar-candidate	128	8	mha	mha	0	1	5	64	2	4	learned	False	0.085122	0.008388608	0.721923828125	0.4375	0.7111216187477112	0.484375	0.8934679130000021	5730.47999318582	73.510912
mqar-candidate	128	8	rope-lsso-r16	rope-lsso	16	1	5	64	2	4	learned	False	0.076946	0.003997696	0.95892333984375	0.4375	0.8884557783603668	0.484375	0.4880127409999986	10491.529359476322	132.388352
ruler-vt-candidate	128	8	mha	mha	0	1	5	64	2	4	learned	False	0.085122	0.008388608	0.688720703125	0.5625	0.7073422968387604	0.5078125	0.014279901000001871	358545.9030842951	73.510912
ruler-vt-candidate	128	8	rope-lsso-r16	rope-lsso	16	1	5	64	2	4	learned	False	0.076946	0.003997696	0.689453125	0.5	0.7108514457941055	0.4921875	0.035110031000002095	145827.27084461116	132.388352
