task	seq_len	difficulty	model	mixer	rank	seed	steps	dim	depth	heads	position_mode	online_train	params_m	mixer_macs_g	train_loss	train_acc	val_loss	val_acc	seconds	tokens_per_sec	peak_mem_mb
mqar	128	8	mha	mha	0	1	3	64	2	4	learned	True	0.086032	0.008388608	3.0712890625	0.0	2.906702756881714	0.03125	0.8568179980000004	3585.3588593735385	73.55392
mqar	128	8	rope-lsso-r16	rope-lsso	16	1	3	64	2	4	learned	True	0.077856	0.003997696	2.6806640625	0.125	2.7768231630325317	0.109375	0.4751285050000007	6465.619232843113	132.427776
ruler-vt	128	10	mha	mha	0	1	3	64	2	4	learned	True	0.086032	0.008388608	3.1171875	0.0	2.8182272911071777	0.078125	0.01207041600000025	254506.55553213213	73.55392
ruler-vt	128	10	rope-lsso-r16	rope-lsso	16	1	3	64	2	4	learned	True	0.077856	0.003997696	2.6513671875	0.1875	2.9438713788986206	0.03125	0.023754759999995656	129321.44968000357	132.427776
