task	seq_len	difficulty	model	mixer	rank	seed	steps	dim	depth	heads	position_mode	online_train	params_m	mixer_macs_g	train_loss	train_acc	val_loss	val_acc	seconds	tokens_per_sec	peak_mem_mb
mqar	512	32	mha	mha	0	1	5000	128	3	4	learned	True	0.492432	0.301989888	2.591766357421875	0.13671875	2.5328333899378777	0.14111328125	96.677719932	1694702.7724199514	531.591168
mqar	512	32	linear	linear	0	1	5000	128	3	4	learned	True	0.492432	0.150994944	2.55596923828125	0.11328125	2.5246194303035736	0.147705078125	276.693186793	592136.0113668869	3266.636288
mqar	512	32	performer-r32	performer	32	1	5000	128	3	4	learned	True	0.492432	0.126025728	2.54058837890625	0.14453125	2.595492497086525	0.13397216796875	309.398722488	529543.2336710909	3627.444736
mqar	512	32	rope-lsso-r16	rope-lsso	16	1	5000	128	3	4	learned	True	0.418728	0.070926336	2.49151611328125	0.1640625	2.5315259471535683	0.146728515625	575.0084435919999	284934.9463053337	3789.935616
mqar	512	32	rope-lsso-r32	rope-lsso	32	1	5000	128	3	4	learned	True	0.443304	0.095158272	2.515411376953125	0.1796875	2.5359238237142563	0.142822265625	1332.724289934	122936.15509034791	9147.824128
ruler-vt	512	42	mha	mha	0	1	5000	128	3	4	learned	True	0.492432	0.301989888	2.76318359375	0.07421875	2.763105943799019	0.0804443359375	158.97626340399984	1030594.1056347522	531.591168
ruler-vt	512	42	linear	linear	0	1	5000	128	3	4	learned	True	0.492432	0.150994944	2.75537109375	0.10546875	2.763634592294693	0.07623291015625	348.46806908100007	470172.2038179516	3266.636288
