task	seq_len	difficulty	model	mixer	rank	seed	steps	dim	depth	heads	position_mode	params_m	mixer_macs_g	train_loss	train_acc	val_loss	val_acc	seconds	tokens_per_sec	peak_mem_mb
mqar	128	16	mha	mha	0	1	2	64	2	4	learned	0.092192	0.008388608	3.5234375	0.0	3.632960081100464	0.0625	0.9886812040000024	2071.446277843869	73.664512
mqar	128	16	linear	linear	0	1	2	64	2	4	learned	0.092192	0.006291456	3.2744140625	0.0	3.548261046409607	0.109375	0.1309555800000055	15638.890683389847	92.2752
mqar	128	16	performer-r16	performer	16	1	2	64	2	4	learned	0.092192	0.005259264	3.3974609375	0.0	3.489755630493164	0.0625	0.07771506799998917	26352.67590578812	96.092672
mqar	128	16	rope-lsso-r16	rope-lsso	16	1	2	64	2	4	learned	0.084016	0.003997696	3.525390625	0.0625	3.533334493637085	0.03125	0.4848656699999907	4223.85028826652	132.534272
ruler-vt	128	21	mha	mha	0	1	2	64	2	4	learned	0.092192	0.008388608	3.4296875	0.0	3.559566020965576	0.015625	0.006079519000010691	336868.7555703664	73.664512
ruler-vt	128	21	linear	linear	0	1	2	64	2	4	learned	0.092192	0.006291456	3.359375	0.125	3.5158520936965942	0.0625	0.008037766000001056	254797.16627726296	92.2752
ruler-vt	128	21	performer-r16	performer	16	1	2	64	2	4	learned	0.092192	0.005259264	3.7451171875	0.0	3.6628401279449463	0.0	0.01145925100000511	178720.23223848458	96.092672
ruler-vt	128	21	rope-lsso-r16	rope-lsso	16	1	2	64	2	4	learned	0.084016	0.003997696	3.5537109375	0.0	3.7729357481002808	0.0	0.013368138999993562	153200.08267425903	132.534272
