task,mixer,seed,accuracy_pct,macro_f1_pct,selected_epoch,config_digest,source_commit,git_dirty
human_enhancers_ensembl,lsso,1,78.927995,78.876845,33,4416b2d190dad74c1bc26b06a6506ae89bbcb7ca3f37accf0d08c55ec14f2718,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
human_enhancers_ensembl,lsso,2,78.957055,78.917999,38,45a1540080794142a83151630b3edf2599570f9263a55fffd159460ab841bb6b,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
human_enhancers_ensembl,mha,0,76.367452,76.322928,19,a91a67c353b67c05af03ed3a7dcee9bda9dba2a6adf3b5ffc4e70e29c25cf8ae,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
human_enhancers_ensembl,mha,1,76.570875,76.555465,34,f2d94d6f7d4cc458a916fdc849e3dcd4ec8ac82238f6b0c4e38c5b9e42fcc670,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
human_enhancers_ensembl,mha,2,76.173716,76.173421,21,792d38d5844677b850a4a96380722651e59faf8fb9eac546580f13061d55eeb8,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
human_ensembl_regulatory,lsso,0,93.121134,93.343885,17,3f6486b5b8d4853bbbbaf3b9b7e99c993dff12ff8531f28906b269437b70debb,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
human_ensembl_regulatory,lsso,1,93.088212,93.301698,10,f1688e644957845fc364996e17c39f6d39a1746937769552ab929e76e07d5940,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
human_ensembl_regulatory,lsso,2,93.098609,93.307053,9,e02ef296867ac92e621d4abadff20236e855efe26065819b8115f0c2d6e4050c,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
human_ensembl_regulatory,mha,0,92.188935,92.414115,34,77a55e93d09145d9bbc984b0b03e2436d8cead11c8b15d9cb17de7abf0d7c9a6,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
human_ensembl_regulatory,mha,1,92.126557,92.339326,33,f5a06edfb31ff700774194eb207251c379a5c557ed7fc84b0ba7d455b01ec8c2,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
human_ensembl_regulatory,mha,2,92.100567,92.326320,37,b74d37a2068a39ef5d2a2d2d55f2043f3647da1dbd040981c8b684be52fcc7d6,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
human_nontata_promoters,lsso,0,85.587779,85.516898,12,d977d9ad47e7b27740115840977c5b2589f59782ea70793667c79f41f9e6cc28,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
human_nontata_promoters,lsso,1,85.255701,85.223458,14,f9d6ee9fd154b0deac90c447739e0208a19247ace7cfe91c0e9df92b9aea9afe,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
human_nontata_promoters,lsso,2,85.377463,85.236419,20,bb0f207aa92f6762789de5703f75641ee37eb9c2d2bd89a4cc39de0b30eaa836,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
human_nontata_promoters,mha,0,84.547266,84.449035,15,72c180b744ce0165a6a91ad4d8e06ac8d1a1c010445ba1ce11ca4f7263871add,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
human_nontata_promoters,mha,1,84.724375,84.594966,20,c9fa79e1fd8f3e135e62be7d1565a1c264f78d15770042f5fbfa93c515eef40f,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
human_nontata_promoters,mha,2,84.846137,84.791191,18,b8fa1994c9bad21af27a5b751c43175bd3802e992e4e1a9bb12cdee1b4911cdf,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
human_ocr_ensembl,lsso,0,68.193523,68.137698,13,b4a5c8a7efed5c6d3f8b80e5daa221bd01040589119601f3fa932a87e773a155,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
human_ocr_ensembl,lsso,1,68.791485,68.725126,8,e4c528e80af7f6baf09ed527f579bcba515a4b1c068955e72e47bf372f7ddba5,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
human_ocr_ensembl,lsso,2,68.651293,68.641773,7,b6a3423312965cf92c0332a0196033a965e9f76b22fdf3cbc4b17d8519d6a09c,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
human_ocr_ensembl,mha,0,66.239414,66.186703,17,bac204dfdc0157674a1ee28a3ef00061ee6b86b96a92993a2a1f9d6ca47a6217,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
human_ocr_ensembl,mha,1,65.315290,65.312290,24,f3f59eaf0aac336bfa51ad508c590d3d65b775ae23156e9810b49e1e7e505267,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
human_ocr_ensembl,mha,2,65.278096,65.257838,23,2f1ed0cebb0b38e119252620e53de29b49b52be5e3b4bc95837a6368f2bc58b9,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
