dataset	model	rank	seed	status	epochs_done	best_epoch	R@10	MRR@10	effective_rank	correction_ratio	gamma_over_mu	avg_epoch_s	jsonl
fiqa	RoPE-LSSO-r16	16	1	complete	20	18	0.23148148148148148	0.1153702478933961	3.0383365154266357	0.1587076336145401	0.009626088663935661	64.01164324484998	runs\retrieval_rope_lsso_fiqa_20ep_3seeds\20260702-163327_bertstyle_retr_fiqa_rope-lsso_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.jsonl
fiqa	RoPE-LSSO-r32	32	1	complete	20	17	0.23148148148148148	0.10803510190084264	4.166916370391846	0.2434985637664795	0.009237876161932945	76.0400749848499	runs\retrieval_rope_lsso_fiqa_20ep_3seeds\20260702-165625_bertstyle_retr_fiqa_rope-lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.jsonl
